# source: U.S. Census Bureau Schedule D (distcode.html), fetched 2026-09-07
# https://www.census.gov/foreign-trade/schedules/d/distcode.html
# Every port-of-entry entry in the published list (district header rows excluded).
regime,kind,code,name,state_province,country,parent_code
ACE,port_of_entry,3195,"FEDEX, ANCHORAGE",AK,US,
ACE,port_of_entry,3196,"UPS, ANCHORAGE",AK,US,
ACE,port_of_entry,3201,HONOLULU,HI,US,
ACE,port_of_entry,3202,HILO,HI,US,
ACE,port_of_entry,3203,KAHULUI,HI,US,
ACE,port_of_entry,3204,NAWILIWILI-PORT ALLEN,HI,US,
ACE,port_of_entry,3205,HONOLULU INTL AIRPRT,HI,US,
ACE,port_of_entry,3206,KONA,HI,US,
ACE,port_of_entry,3301,RAYMOND,MT,US,
ACE,port_of_entry,3302,EASTPORT,ID,US,
ACE,port_of_entry,3303,SALT LAKE CITY,UT,US,
ACE,port_of_entry,3304,GREAT FALLS,MT,US,
ACE,port_of_entry,3305,BUTTE,MT,US,
ACE,port_of_entry,3306,TURNER,MT,US,
ACE,port_of_entry,3307,DENVER,CO,US,
ACE,port_of_entry,3308,PORTHILL,ID,US,
ACE,port_of_entry,3309,SCOBY,MT,US,
ACE,port_of_entry,3310,SWEETGRASS,MT,US,
ACE,port_of_entry,3316,PIEGAN,MT,US,
ACE,port_of_entry,3317,OPHEIM,MT,US,
ACE,port_of_entry,3318,ROOSVILLE,MT,US,
ACE,port_of_entry,3319,MORGAN,MT,US,
ACE,port_of_entry,3321,WHITLASH,MT,US,
ACE,port_of_entry,3322,DEL BONITA,MT,US,
ACE,port_of_entry,3323,WILDHORSE,MT,US,
ACE,port_of_entry,3324,KALISPELL AIRPORT,,US,
ACE,port_of_entry,3325,HAVRE,MT,US,
ACE,port_of_entry,3384,CENTENNIAL AIRPORT,CO,US,
ACE,port_of_entry,3385,EAGLE COUNTY REGIONAL AIRPORT,,US,
ACE,port_of_entry,3386,"BOZEMAN YELLOWSTONE USER FEE AIRPORT, BELGRADE",MT,US,
ACE,port_of_entry,3401,PEMBINA,ND,US,
ACE,port_of_entry,3403,PORTAL,ND,US,
ACE,port_of_entry,3404,NECHE,ND,US,
ACE,port_of_entry,3405,ST JOHN,ND,US,
ACE,port_of_entry,3406,NORTHGATE,ND,US,
ACE,port_of_entry,3407,WALHALLA,ND,US,
ACE,port_of_entry,3408,HANNAH,ND,US,
ACE,port_of_entry,3409,SARLES,ND,US,
ACE,port_of_entry,3410,AMBROSE,ND,US,
ACE,port_of_entry,3411,FARGO,ND,US,
ACE,port_of_entry,3413,ANTLER,ND,US,
ACE,port_of_entry,3414,SHERWOOD,ND,US,
ACE,port_of_entry,3415,HANSBORO,ND,US,
ACE,port_of_entry,3416,MAIDA,ND,US,
